transaction_id,customer_id,transaction_date,period,days_from_launch,post_flag,ramp_flag,campaign_flag,country,device_type,customer_tenure,risk_tier,transaction_value_usd,verification_completed,verification_time_seconds,manual_review,payment_declined,support_contact,fraud_confirmed
TXN0048397,CUST008929,2026-04-29,Post,28,1,0,0,BR,Mobile,Existing,Low,72.02,1,11.24,0,1,0,0
TXN0014460,CUST000769,2026-02-27,Pre,-33,0,0,0,US,Desktop,New,Medium,23.09,1,113.21,0,0,0,0
TXN0051846,CUST006438,2026-05-05,Post,34,1,0,1,US,Mobile,New,Medium,89.43,0,30.3,0,0,0,0
TXN0047156,CUST002333,2026-04-27,Post,26,1,0,0,MX,Mobile,New,Medium,73.27,1,34.12,0,0,0,0
TXN0053973,CUST009241,2026-05-07,Post,36,1,0,1,US,Desktop,New,High,29.95,1,96.39,1,0,0,0
TXN0011066,CUST012996,2026-02-21,Pre,-39,0,0,0,US,Mobile,Existing,Low,89.35,1,88.55,0,0,0,0
TXN0029465,CUST020499,2026-03-27,Pre,-5,0,0,0,US,Desktop,New,Low,52.12,1,25.88,0,0,0,0
TXN0049547,CUST015557,2026-05-01,Post,30,1,0,0,US,Mobile,Existing,Medium,135.17,0,100.18,0,0,1,0
TXN0066153,CUST017812,2026-05-27,Post,56,1,0,0,US,Mobile,New,Low,139.3,1,89.38,0,1,0,0
TXN0044825,CUST016578,2026-04-23,Post,22,1,0,0,MX,Desktop,Existing,Low,37.82,0,67.97,0,0,0,0
TXN0041273,CUST004711,2026-04-17,Post,16,1,0,0,CR,Mobile,New,Low,29.56,1,123.18,1,0,0,0
TXN0064593,CUST022845,2026-05-24,Post,53,1,0,0,CR,Desktop,New,Low,27.01,1,41.84,0,0,0,0
TXN0025456,CUST020247,2026-03-20,Pre,-12,0,0,0,US,Desktop,Existing,Low,79.69,1,148.11,0,0,0,0
TXN0003789,CUST008258,2026-02-08,Pre,-52,0,0,0,us,Desktop,Existing,Low,88.14,1,114.86,0,0,0,0
TXN0014036,CUST002496,2026-02-27,Pre,-33,0,0,0,MX,Mobile,Existing,Low,41.73,0,69.14,0,0,0,0
TXN0031674,CUST015929,2026-03-31,Pre,-1,0,0,0,BR,Mobile,Existing,Low,46.29,0,158.62,1,0,0,0
TXN0006428,CUST012270,2026-02-12,Pre,-48,0,0,0,US,Mobile,Existing,High,33.35,1,124.24,1,0,0,0
TXN0039424,CUST018936,2026-04-14,Post,13,1,0,0,BR,Mobile,Existing,Low,310.97,1,54.38,1,0,0,0
TXN0031812,CUST023783,2026-03-31,Pre,-1,0,0,0,MX,Mobile,New,Low,301.87,1,144.16,1,0,0,0
TXN0023205,CUST016708,2026-03-16,Pre,-16,0,0,0,BR,Mobile,Existing,Medium,71.24,1,84.21,0,0,0,0
TXN0010188,CUST013018,2026-02-19,Pre,-41,0,0,0,US,Desktop,Existing,High,73.22,1,166.59,1,0,0,0
TXN0005473,CUST004468,2026-02-11,Pre,-49,0,0,0,BR,Mobile,Existing,Medium,154.5,1,95.09,0,0,0,0
TXN0057297,CUST023086,2026-05-12,Post,41,1,0,0,US,Desktop,Existing,Medium,57.69,1,139.66,0,0,0,0
TXN0033591,CUST004299,2026-04-03,Post,2,1,1,0,US,Mobile,Existing,Medium,82.69,1,30.72,0,0,0,0
TXN0067922,CUST012811,2026-05-30,Post,59,1,0,0,MX,Mobile,Existing,Low,197.52,0,61.13,0,1,0,0
