merchant_id,as_of_date,country,industry,tenure_months,account_status,kyc_status,risk_tier,profitability_tier,monthly_payment_volume_usd,transaction_count_30d,avg_settlement_delay_hours,payout_failure_rate_90d,support_contacts_90d,mobile_app_active,instant_settlement_enabled,contacted_last_30d
LS013869,2026-08-01,BR,Travel,53,Paused,Verified,Low,Medium,19448.04,190,35.4,0.0097,0,1,1,0
LS045204,2026-08-01,MX,Retail,42,Active,Verified,Low,High,2183.14,23,33.0,0.0092,1,1,0,0
LS025730,2026-08-01,BR,Professional services,33,Active,Verified,Low,Low,1502.11,14,25.1,0.0223,0,1,0,0
LS055983,2026-08-01,US,Travel,23,Active,Verified,Low,Medium,18203.86,474,5.6,0.0,0,1,1,0
LS016471,2026-08-01,MX,Professional services,28,Active,Verified,Medium,Low,18730.0,289,36.9,0.016,2,1,0,0
LS024132,2026-08-01,BR,Retail,32,Active,Verified,Low,Medium,39511.4,489,37.9,0.0302,1,0,0,0
LS020909,2026-08-01,US,Travel,24,Active,Verified,Low,High,28870.55,261,40.4,0.0152,1,1,0,1
LS019116,2026-08-01,US,Retail,23,Active,Verified,Low,Medium,36636.28,319,27.2,0.0038,0,1,0,0
LS055487,2026-08-01,CR,Professional services,19,Active,Verified,Low,Medium,18016.33,232,11.9,0.0,1,0,1,0
LS013833,2026-08-01,US,Retail,66,Active,Verified,Low,High,1440.25,11,14.0,0.0208,1,1,0,0
LS038370,2026-08-01,US,Retail,2,Active,Verified,Low,Medium,14749.75,163,22.3,0.0049,1,1,1,0
LS049798,2026-08-01,BR,Retail,11,Paused,Verified,High,Medium,10810.56,187,34.9,0.0103,1,1,0,0
LS003020,2026-08-01,US,Retail,24,Active,Verified,Low,High,19622.06,715,40.5,0.0224,0,0,0,0
LS023252,2026-08-01,MX,Professional services,19,Active,Verified,Low,Low,22819.28,324,21.1,0.0047,0,1,0,0
LS029189,2026-08-01,BR,Retail,39,Active,Verified,Low,Medium,9797.68,152,18.3,0.0057,1,0,0,1
LS034862,2026-08-01,MX,Professional services,68,Active,Verified,Low,Low,13845.9,254,33.8,0.0107,2,1,0,0
LS036625,2026-08-01,CR,Food & beverage,42,Paused,Verified,High,Low,27650.66,779,21.5,0.0165,0,1,0,0
LS034058,2026-08-01,MX,Retail,34,Active,Verified,Low,Low,18458.77,239,34.1,0.009,1,1,0,0
LS006730,2026-08-01,BR,Digital goods,44,Active,Verified,Low,Medium,4565.96,76,24.0,0.0,0,1,0,0
LS056322,2026-08-01,BR,Food & beverage,6,Active,Verified,Low,High,6297.73,101,29.6,0.0126,1,0,0,0
LS039918,2026-08-01,MX,Food & beverage,51,Active,Verified,Low,Medium,40578.55,538,17.9,0.0142,0,1,0,0
LS032162,2026-08-01,BR,Professional services,28,Active,Verified,High,Medium,6297.51,95,34.6,0.021,0,1,0,0
LS009928,2026-08-01,BR,Travel,11,Active,Verified,Medium,Medium,2959.76,45,52.7,0.0089,0,1,0,0
LS001404,2026-08-01,US,Food & beverage,39,Active,Expired,Low,Medium,9001.74,134,15.3,0.0033,0,1,0,0
LS038090,2026-08-01,BR,Food & beverage,33,Active,Verified,Low,Medium,4185.97,40,40.3,0.022,0,1,0,0
LS002595,2026-08-01,BR,Retail,38,Active,Pending,Low,Medium,20011.18,288,39.5,0.0149,0,1,1,0
LS031880,2026-08-01,US,Digital goods,36,Active,Verified,Medium,Medium,4843.66,83,27.8,0.0067,2,1,0,0
LS042677,2026-08-01,MX,Travel,20,Active,Verified,Low,High,2827.39,42,24.9,0.0048,1,1,0,0
LS002434,2026-08-01,US,Professional services,61,Active,Verified,High,Medium,36443.39,423,33.6,0.0162,0,1,0,0
LS000656,2026-08-01,US,Digital goods,19,Active,Verified,Low,High,6103.87,52,56.6,0.0235,1,1,1,0
LS009465,2026-08-01,US,Digital goods,17,Active,Verified,Low,Medium,12667.85,260,34.2,0.0169,1,1,1,0
LS027345,2026-08-01,US,Retail,53,Active,Verified,Medium,Medium,7579.34,67,14.0,0.0,1,1,0,0
