customer_id,customer_created_at,acquisition_channel,country_code,marketing_consent,order_id,order_timestamp,recognized_revenue
C01147,2025-09-27,paid_social,US,True,O0009803,2025-09-28,79.69
C00014,2024-12-31,organic,BR,True,O0000142,2025-11-09,53.4
C01651,2025-08-08,paid_social,BR,True,O0014332,2025-12-21,84.99
C02888,2026-01-06,paid_search,BR,True,O0024415,2026-08-20,51.88
C00296,2025-07-09,organic,US,True,O0002569,2026-06-04,119.63
C00119,2024-11-01,organic,BR,True,O0000982,2026-06-25,21.22
C02924,2026-07-27,referral,US,True,O0024710,2026-07-28,71.18
C02450,2026-03-02,paid_search,US,False,O0020984,2026-03-03,26.25
C01797,2025-02-12,organic,BR,False,O0015554,2025-10-31,162.24
C01254,2026-02-24,paid_social,US,True,O0010799,2026-07-11,239.14
C00170,2026-02-07,organic,CR,False,O0001460,2026-05-05,77.21
C02922,2025-09-18,email,MX,True,O0024695,2025-12-15,70.06
C01502,2024-10-06,organic,MX,True,O0013085,2026-02-06,54.08
C01224,2026-02-23,referral,MX,True,O0010483,2026-02-24,121.23
C00228,2024-12-16,paid_search,CR,True,O0001894,2025-10-28,140.36
C00071,2026-01-31,referral,US,True,O0000610,2026-02-01,19.22
C02511,2025-11-01,organic,CR,True,O0021496,2025-12-04,95.92
C01428,2025-06-22,email,BR,False,O0012384,2026-08-05,57.63
C02507,2026-07-08,paid_search,BR,True,O0021446,2026-07-20,36.65
C01468,2026-06-23,paid_search,US,True,O0012806,2026-06-24,31.55
C02659,2025-08-26,referral,CR,True,O0022619,2026-02-19,85.68
C00159,2025-03-29,email,MX,False,O0001388,2026-08-07,430.27
C01907,2024-11-21,organic,US,False,O0016462,2026-08-06,31.15
C02084,2025-08-02,email,CR,True,O0018009,2026-03-17,59.89
C01236,2025-02-28,paid_search,US,True,O0010617,2026-08-26,45.86
C01499,2026-03-28,paid_search,US,True,O0013069,2026-03-29,56.42
C02999,2025-02-28,paid_search,US,True,O0025278,2026-03-06,148.68
C02522,2024-10-11,organic,MX,True,O0021591,2026-04-29,38.87
C00277,2026-01-01,paid_social,MX,True,O0002394,2026-01-02,29.46
C00664,2025-09-27,paid_social,US,True,O0005689,2025-10-28,41.54
C01843,2025-05-18,organic,MX,True,O0015924,2026-03-21,56.38
C01397,2025-09-12,paid_social,BR,False,O0012088,2025-09-13,83.52
C01432,2025-09-23,referral,BR,True,O0012423,2026-05-03,132.38
C01184,2026-02-21,email,US,True,O0010141,2026-02-22,43.49
C00810,2026-04-26,paid_social,MX,True,O0006996,2026-04-27,170.21
C00123,2025-02-01,organic,US,True,O0001031,2026-08-01,162.87
C01036,2025-03-31,,MX,True,O0008864,2026-03-15,71.63
C01195,2025-09-03,paid_social,US,True,O0010249,2026-01-31,119.09
C01302,2026-02-27,email,CR,True,O0011272,2026-08-04,125.53
C01884,2025-10-06,paid_social,US,True,O0016306,2025-10-28,122.73
C02388,2025-07-14,organic,MX,True,O0020530,2025-07-15,28.72
C02380,2025-09-11,organic,MX,True,O0020472,2026-07-05,19.2
C02959,2025-02-01,referral,US,True,O0024988,2026-05-08,314.64
C02709,2025-02-12,paid_search,BR,True,O0023073,2026-05-30,11.07
C02666,2025-07-12,paid_social,BR,False,O0022689,2025-10-11,32.81
C01744,2026-01-13,paid_search,US,False,O0015133,2026-04-30,79.63
C01938,2025-03-11,organic,US,True,O0016760,2026-08-28,54.37
C02849,2025-02-19,paid_search,BR,True,O0024113,2025-11-27,27.03
C01594,2024-10-27,email,US,True,O0013888,2026-04-27,195.99
C01226,2026-06-03,referral,CR,True,O0010505,2026-06-04,118.58
